Date,Position,Teams,Players
"CS:GO World ranking on November 1st, 2021",#1,Natus Vincere(977 points),s1mple electronic Boombl4 Perfecto B1T
"CS:GO World ranking on November 1st, 2021",#2,NIP(657 points),device REZ hampus Plopski LNZ
"CS:GO World ranking on November 1st, 2021",#3,Vitality(651 points),shox apEX ZywOo misutaaa Kyojin
"CS:GO World ranking on November 1st, 2021",#4,Gambit(585 points),Hobbit interz Ax1Le sh1ro nafany
"CS:GO World ranking on November 1st, 2021",#5,Heroic(507 points),cadiaN refrezh stavn TeSeS sjuush
"CS:GO World ranking on November 1st, 2021",#6,FaZe(452 points),karrigan olofmeister rain Twistzz broky
"CS:GO World ranking on November 1st, 2021",#7,ENCE(421 points),Snappi doto dycha hades Spinx
"CS:GO World ranking on November 1st, 2021",#8,Astralis(419 points),Xyp9x dupreeh gla1ve Magisk Lucky
"CS:GO World ranking on November 1st, 2021",#9,G2(390 points),JaCkz NiKo huNter- AmaNEk nexa
"CS:GO World ranking on November 1st, 2021",#10,Copenhagen Flames(363 points),HooXi nicoodoz roeJ jabbi Zyphon
"CS:GO World ranking on November 1st, 2021",#11,Virtus.pro(345 points),buster FL1T Qikert Jame YEKINDAR
"CS:GO World ranking on November 1st, 2021",#12,OG(343 points),valde Aleksib niko mantuu flameZ
"CS:GO World ranking on November 1st, 2021",#13,Liquid(312 points),FalleN NAF EliGE Stewie2K Grim
"CS:GO World ranking on November 1st, 2021",#14,Entropiq(283 points),NickelBack Krad Lack1 El1an Forester
"CS:GO World ranking on November 1st, 2021",#15,MOUZ(272 points),dexter frozen acoR ropz Bymas
"CS:GO World ranking on November 1st, 2021",#16,BIG(271 points),tabseN tiziaN syrsoN gade k1to
"CS:GO World ranking on November 1st, 2021",#17,Movistar Riders(226 points),alex mopoz DeathZz SunPayus dav1g
"CS:GO World ranking on November 1st, 2021",#18,FURIA(215 points),arT yuurih VINI KSCERATO drop
"CS:GO World ranking on November 1st, 2021",#19,Fiend(186 points),bubble v1c7oR dream3r REDSTAR h4rn
"CS:GO World ranking on November 1st, 2021",#20,Spirit(185 points),chopper mir sdy degster magixx
"CS:GO World ranking on November 1st, 2021",#21,MAD Lions(128 points),b0RUP TMB Woro2k sausol jL
"CS:GO World ranking on November 1st, 2021",#22,Lyngby Vikings(125 points),FASHR Daffu WolfY birdfromsky maNkz
"CS:GO World ranking on November 1st, 2021",#23,GODSENT(114 points),TACO felps dumau b4rtiN latto
"CS:GO World ranking on November 1st, 2021",#24,Sinners(105 points),oskar ZEDKO beastik SHOCK NEOFRAG
"CS:GO World ranking on November 1st, 2021",#25,forZe(101 points),Jerry zorte shalfey KENSI Norwi
"CS:GO World ranking on November 1st, 2021",#26,SKADE(98 points),SHiPZ dennyslaw KalubeR Duplicate Rainwaker
"CS:GO World ranking on November 1st, 2021",#27,paiN(96 points),PKL NEKIZ hardzao biguzera saffee
"CS:GO World ranking on November 1st, 2021",#28,fnatic(85 points),KRIMZ ALEX smooya Brollan mezii
"CS:GO World ranking on November 1st, 2021",#29,Renegades(85 points),Sico aliStair INS Hatz malta
"CS:GO World ranking on November 1st, 2021",#30,FunPlus Phoenix(85 points),zehN emi STYKO Maden Farlig
"CS:GO World ranking on October 25th, 2021",#1,Natus Vincere(919 points),s1mple electronic Boombl4 Perfecto B1T
"CS:GO World ranking on October 25th, 2021",#2,NIP(656 points),device REZ hampus Plopski LNZ
"CS:GO World ranking on October 25th, 2021",#3,Vitality(638 points),shox apEX ZywOo misutaaa Kyojin
"CS:GO World ranking on October 25th, 2021",#4,Gambit(560 points),Hobbit interz Ax1Le sh1ro nafany
"CS:GO World ranking on October 25th, 2021",#5,Heroic(430 points),cadiaN refrezh stavn TeSeS sjuush
"CS:GO World ranking on October 25th, 2021",#6,G2(355 points),JaCkz NiKo huNter- AmaNEk nexa
"CS:GO World ranking on October 25th, 2021",#7,OG(338 points),valde Aleksib niko mantuu flameZ
"CS:GO World ranking on October 25th, 2021",#8,Astralis(335 points),Xyp9x dupreeh gla1ve Magisk Lucky
"CS:GO World ranking on October 25th, 2021",#9,Liquid(334 points),FalleN NAF EliGE Stewie2K Grim
"CS:GO World ranking on October 25th, 2021",#10,ENCE(332 points),Snappi doto dycha hades Spinx
"CS:GO World ranking on October 25th, 2021",#11,FaZe(330 points),karrigan olofmeister rain Twistzz broky
"CS:GO World ranking on October 25th, 2021",#12,Virtus.pro(289 points),SANJI buster Qikert Jame YEKINDAR
"CS:GO World ranking on October 25th, 2021",#13,BIG(234 points),tabseN tiziaN syrsoN gade k1to
"CS:GO World ranking on October 25th, 2021",#14,Copenhagen Flames(231 points),HooXi nicoodoz roeJ jabbi Zyphon
"CS:GO World ranking on October 25th, 2021",#15,Movistar Riders(196 points),alex mopoz DeathZz SunPayus dav1g
"CS:GO World ranking on October 25th, 2021",#16,MOUZ(188 points),dexter frozen acoR ropz Bymas
"CS:GO World ranking on October 25th, 2021",#17,FURIA(180 points),arT yuurih VINI KSCERATO drop
"CS:GO World ranking on October 25th, 2021",#18,Fiend(178 points),bubble v1c7oR dream3r REDSTAR h4rn
"CS:GO World ranking on October 25th, 2021",#19,Entropiq(163 points),NickelBack Krad Lack1 El1an Forester
"CS:GO World ranking on October 25th, 2021",#20,Spirit(150 points),chopper mir sdy degster magixx
"CS:GO World ranking on October 25th, 2021",#21,MAD Lions(124 points),b0RUP TMB Woro2k sausol jL
"CS:GO World ranking on October 25th, 2021",#22,Lyngby Vikings(118 points),FASHR Daffu WolfY birdfromsky maNkz
"CS:GO World ranking on October 25th, 2021",#23,GODSENT(114 points),TACO felps dumau b4rtiN latto
"CS:GO World ranking on October 25th, 2021",#24,SKADE(110 points),SHiPZ dennyslaw KalubeR Duplicate Rainwaker
